Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
BAZ2B	8.91	10.16	10.48	8.96	9.47	8.83
BBC3	45.62	48.19	42.11	15.93	18.54	14.55
BBIP1	11.17	10.89	11.56	7.62	7.69	8.43
BBOX1	0.05	0.05	0	0	0	0
BBOX1-AS1	0	0	0	0	0	0.24
BBS1	14.92	17.36	15.09	8.26	9.51	7.24
BBS10	7.92	8.6	10.22	5.43	4.79	5.2
BBS12	3.59	3.9	4.62	3.58	4.22	3.28
BBS2	15.4	18.77	19.23	35.34	48.76	39.66
BBS4	21.55	20.55	21.62	17.41	16.73	14.64
BBS5	9.24	8.95	9.72	6.99	6.06	6.81
BBS7	16.88	17.49	17.89	19.61	18.96	18.94
BBS9	13.49	13.25	13.83	9.69	11.63	10.96
BBX	36.25	36.46	37.69	19.67	19.94	17.23
BCAM	38.82	43.3	41.29	5.52	5.09	4.17
BCAN	0.06	0.14	0.06	0.29	0.28	0.84
BCAP29	21.14	19.8	21.12	33.08	29.63	33.18
BCAP31	183.73	177.91	183.79	351.63	330.26	372.68
BCAR1	136.39	120.72	117.47	141.52	136.96	122.81
BCAR3	25.69	24.36	24.28	22.3	29.01	25.12
BCAR4	0	0	0	0	0	0.08
BCAS1	0.03	0.03	0	0	0	0
BCAS2	58.42	54.9	57.55	71.62	58.15	65.89
BCAS3	7.46	9.1	9.71	5.82	8.28	6.1
BCAS4	17.79	18.29	20.07	23.65	27.71	23.18
BCAT1	215.92	204.3	187.15	69.46	52.04	56.27
BCAT2	40.33	32.75	39.66	63.31	69.9	66.06
BCCIP	62.87	56.19	67.53	167.62	132.15	170.46
BCDIN3D	4.11	5.05	4.86	2.14	2.68	2.56
BCDIN3D-AS1	0.76	0.68	0.57	0.11	0.2	0.35
BCHE	0	0	0	0	0	0
BCKDHA	19.06	17.18	22.1	27.15	38.7	33.22
BCKDHB	17.25	15.74	17.21	6.87	6.49	6.28
BCKDK	43.8	42.72	45.09	116.31	109.59	129.17
BCL10	22.17	21.26	20.08	34.17	32.51	32.89
BCL11A	0.11	0.03	0.07	0.26	0.2	0.17
BCL11B	0.01	0	0	0.04	0.04	0.04
BCL2	2.55	1.79	1.38	0.6	0.08	0.09
BCL2A1	0	0	0	40.22	47.15	43.52
BCL2L1	123.74	108.88	112.79	165.46	173.2	168.79
BCL2L10	0.23	0.08	0.13	0.1	0.09	0
BCL2L11	2.35	4.29	3.13	0.39	0.39	0.71
BCL2L12	13.97	13.75	14.48	30.2	32.92	30.75
BCL2L13	52.7	50.11	47.92	37.49	38.36	36.51
BCL2L14	0	0.27	0.17	0	0	0.06
BCL2L15	0.02	0.02	0.03	0.02	0.02	0
BCL2L2	39.88	41.19	36.73	62.27	57.21	62.55
BCL2L2-PABPN1	74.78	73.02	70.67	111.93	105.07	113.76
BCL3	33.83	38.12	35.96	20.46	24.73	22.61
BCL6	14.64	19.72	19.81	7.5	9.21	7.77
BCL6B	0	0	0	0	0	0.03
BCL7A	3.88	3.31	3.21	3.86	3.82	2.32
BCL7B	51.66	49.1	49.84	63.29	64.61	68.26
BCL7C	72.33	66.29	63.86	82.44	79.18	91.62
BCL9	9.64	10.08	8.74	5.86	6.14	5.51
BCL9L	47.28	47.53	46.98	48.81	48.51	43.2
BCLAF1	53.28	48.64	48.28	45.3	37.58	36.11
BCO1	0	0.04	0	0	0	0
BCO2	0.18	0.32	0.31	0.29	0.21	0.08
BCOR	13.32	13.19	12.25	9.79	11.77	10.45
BCORL1	5.57	6.62	5.46	9.06	11.43	8.48
BCORP1	0	0	0	0	0	0
BCR	22.26	22.83	22.13	43.93	58.11	47.91
BCRP2	0.06	0.74	0.39	0.75	1.16	0.74
BCRP3	0.31	0.37	0	0.37	0.23	0
BCS1L	17.77	14.5	16.4	16.86	13.58	15.7
BCYRN1	6.05	3.3	7.96	4.84	3.65	3.51
BDH1	0.77	0.45	0.66	0.92	1.03	1.11
BDH2	15.45	18.44	18.46	6.1	5.94	5.95
BDKRB1	27.12	35.13	43.19	35.39	15.26	24.26
BDKRB2	48.77	88.91	86.72	155.74	196.71	186.42
BDNF	81.27	74.63	73.79	10.71	10.8	11.03
BDNF-AS	1.82	1.22	1.35	2.08	1.51	1.96
BDP1	10.17	9.92	9.73	15.23	12.62	12
BEAN1	0.06	0.29	0.14	3.83	18.28	10.76
BEAN1-AS1	0	0.24	0	1.11	2.61	3.49
BECN1	78.02	78.24	83.84	80.16	75.41	75.67
BECN2	0	0	0	0	0	0
BEGAIN	0.1	0	0	0.83	1.44	1.37
BEND2	0	0	0	0	0	0
BEND3	1.22	1.12	1.18	2.15	2.19	1.84
BEND3P3	2.31	2.46	2.48	1.22	2.82	1.34
BEND4	0	0	0	0.01	0	0
BEND5	0	0	0	0.2	0	0.12
BEND6	16.18	17.68	14.55	5.01	4.16	4.08
BEND7	3.5	3.53	3.53	0.79	0.88	0.44
BEST1	2.59	3.23	2.91	1.72	1.53	1.56
BEST2	0	0	0	0	0	0
BEST3	0.22	0.14	0.11	1.97	0.69	0.58
BEST4	0.09	0.29	0.15	0.39	0.26	0.2
BET1	36.55	36.57	34.34	32.23	29.4	30.51
BET1L	92.33	101.45	88.1	90.23	103	91.43
BEX1	0	0	0	0.72	1.63	1.64
BEX2	0.54	0	0	0.22	0.28	0.85
BEX4	12.2	11.68	8.77	13.05	20.19	13.92
BEX5	0	0	0	0	0	0
BFAR	55.59	52.87	52.97	64.85	57.72	61.08
BFSP1	8.7	7.83	7.95	5.73	6.94	5
BFSP2	0	0	0	0	0	0
BGLAP	0.2	0	0	0	0	0
BGLT3	0	0	0	0	0	0
BGN	155.79	224.73	139.76	51.15	111.4	60.95
BHLHA15	0.7	0.31	0.99	0.9	0.68	0.48
BHLHA9	0	0	0	0	0	0
BHLHB9	6.91	7.59	5.48	3.32	3.29	3
BHLHE22	0	0	0	0	0	0
BHLHE23	0	0	0	0	0	0
BHLHE40	39.69	39.87	40.23	128.91	192.74	153.97
BHLHE40-AS1	0.29	0.54	0.29	0.16	0.1	0.09
BHLHE41	1.79	0.99	0.8	13.28	10.97	12.16
BHMG1	0	0	0	0	0	0
BHMT	0.23	0.2	0.21	0	0	0
BHMT2	1.29	1.43	1.56	2.42	1.95	2.65
BICC1	33.08	40.41	40.08	19.98	25.79	19.98
BICD1	11.16	9.48	9.51	11.46	11.74	11.44
BICD2	41.49	37.88	39.35	84	78.7	75.31
BID	38.08	38.36	40.96	122.84	104.33	118.25
BIK	0.1	0.11	0.18	0.52	0.61	0.12
BIN1	49.58	54.83	53.38	27.33	27.94	26.58
BIN2	0	0	0	0	0	0
BIN3	20.11	18.81	24.62	33.45	32.64	32.37
BIN3-IT1	0	0.05	0	0.13	0.18	0.23
BIRC2	60.57	59.33	60.1	112.47	87.3	96.01
BIRC3	2.05	1.7	2.28	21.71	19.38	15.29
BIRC5	19.9	11.17	18.63	4.68	1.46	5.16
BIRC6	30.1	33.58	31.64	25.96	25.75	22.49
BIRC6-AS2	0	0.19	0	0.22	0	0
BIRC7	0	0	0	0	0	0
BIRC8	0	0	0	0	0	0
BISPR	0.05	0.22	0.67	0.06	0.18	0.06
BIVM	22.62	23.49	22.3	14.94	14.76	14.7
BIVM-ERCC5	9.9	10.03	13.78	8.04	10.01	4.42
BLACAT1	0	0	0	0	0	0.04
BLACE	0	0	0	0	0	0
BLCAP	122.67	115.49	112.27	147.74	112.51	126.15
BLID	0.22	0	0	0	0.14	0.13
BLK	0.18	0.08	0.12	0.14	0.51	0.36
BLM	1.09	0.71	0.77	0.35	0.19	0.4
BLMH	45.8	45.84	39.87	34.81	33.01	32.36
BLNK	0.18	0	0	0	0.08	0
BLOC1S1	123.12	128.37	120.82	86.24	87.88	93.08
BLOC1S1-RDH5	3.6	2.04	4.45	0.23	0.78	0
BLOC1S2	48.25	47.8	44.51	63.48	44.72	52.83
BLOC1S3	11.88	12.17	12.28	10.28	10.55	8.56
BLOC1S4	25.43	26.65	29.23	39.9	29.94	36.08
BLOC1S5	5.61	8.53	3.99	0	7.49	3.68
BLOC1S5-TXNDC5	5.29	5.33	8.08	5.29	0.04	1.44
BLOC1S6	81.74	81.29	75.82	67.36	57.54	60.63
BLVRA	77.14	66.7	82.28	36.79	38.32	38.43
BLVRB	150.71	124.57	126.39	53.06	56.35	59.84
BLZF1	24.61	24.92	21.97	53.16	43.56	46.74
BMF	6.18	9.99	6.29	7.27	7.9	7.14
BMI1	25.11	29.65	23.2	19.06	19.99	21.75
BMP1	123.56	146.89	129.77	90.49	90.12	90.18
BMP10	0	0	0	0.08	0.07	0.07
BMP15	0	0	0	0	0	0
BMP2	0.63	1.07	0.96	197.38	309.39	203.57
BMP2K	28.69	25.87	22.83	23.2	25.23	20.51
BMP3	0.02	0	0.14	0.04	0.06	0.13
BMP4	88.96	162.71	138.62	20.41	25.58	22.54
BMP5	0.59	2.49	1.64	0	0.1	0
BMP6	0.12	0.1	0.05	0.12	0.11	0.07
BMP7	0	0	0	0	0.03	0
BMP7-AS1	0	0	0	0	0	0
BMP8A	0.22	0.16	0.28	0.09	0.19	0.14
BMP8B	0	0.13	0	0.06	0.14	0.12
BMPER	4.5	3.1	3.27	7.32	8.22	7.81
BMPR1A	37.9	37.31	36.96	26.89	24.65	23.54
BMPR1B	2.22	1.67	1.08	0.28	0.26	0.32
BMPR1B-AS1	0	0	0	0	0	0
BMPR2	58.28	62.92	53.59	37.46	37.05	31.87
BMS1	22.98	20.61	19.72	29.39	24.47	25.6
BMS1P17	0.07	0	0	0.18	0.25	0.09
BMS1P18	0.07	0	0	0.18	0.25	0.09
BMS1P20	17.17	17.08	18.16	24.63	26.07	25.32
BMS1P21	0.12	0	0	0.15	0	0
BMS1P4	2.14	3.12	2.08	1.18	1.01	0.97
BMS1P5	2.25	2.37	1.6	0.9	1.16	1.26
BMS1P6	1.85	2.36	1.54	0.93	0.54	0.67
BMX	0	0	0	0	0	0
BNC1	0	0	0	0.05	0	0
BNC2	11.78	11.34	10.08	2.73	2.21	2.46
BNIP1	23.96	22.14	21.17	21.12	16.58	17.69
BNIP2	66.37	67.07	68.4	70.88	65.81	66.68
BNIP3	242.34	241.12	285.55	567.3	315.56	564.24
BNIP3L	165.81	179.48	185.48	205.85	177.58	188.07
BNIPL	0.08	0.05	0.15	0.05	0.18	0.1
BOC	12.7	16.23	11.26	5.2	5.73	4.98
BOD1	95.31	99.14	91.01	61.94	58.49	59.19
BOD1L1	25.49	25.76	23.17	31.08	32.09	27.8
BOD1L2	0	0	0	0	0	0
BOK	40.7	40.11	42.52	48.46	45.27	49.12
BOK-AS1	0.66	0.56	0.23	0.66	0.32	0.15
BOLA1	10.03	13.82	12.15	10.71	9.84	10.29
BOLA2	31.49	29.56	31.63	68.93	65.93	76.2
BOLA2B	31.49	29.56	31.63	68.93	65.93	76.2
BOLA3	72.51	54.81	57.84	116.51	104.53	124.73
BOLA3-AS1	4.34	4.29	3.73	3.03	3.47	1.39
BOLL	0	0	0	0.09	0.12	0
BOP1	29.49	26.91	27.76	96.09	81.24	92.97
BORA	2.75	2.21	2.4	1.72	2.13	1.52
BPESC1	0	0	0	0	0	0
BPGM	70.46	84.69	76.64	162.62	187.48	187.64
BPHL	15.01	14.46	17.18	14.46	16.04	13.96
BPI	0.05	0.05	0	0	0	0
BPIFA1	0	0	0	0	0	0
BPIFA2	0	0	0	0	0	0
BPIFA3	0	0	0	0	0	0
BPIFA4P	0	0	0	0	0	0
BPIFB1	0	0	0	0	0	0
BPIFB2	0	0	0	0	0	0
BPIFB3	0	0	0	0	0	0
BPIFB4	0	0	0	0	0	0
BPIFB6	0	0	0	0	0	0
BPIFC	0	0	0	0	0.06	0
BPNT1	21.19	20.23	21.63	33.54	31.36	31.99
BPTF	22.31	21.76	20.98	26.29	26.11	23.27
BPY2	0	0	0	0	0	0
BPY2B	0	0	0	0	0	0
BPY2C	0	0	0	0	0	0
BRAF	11.37	10.47	10.42	9.95	11.06	8.2
BRAP	15.26	16.54	15.34	20.84	17.2	18.29
BRAT1	15.53	16.94	18.46	27.43	28.76	29.75
BRCA1	3.07	2.43	1.9	2.17	2.14	1.98
BRCA2	1.74	0.85	0.98	0.44	0.24	0.28
BRCAT107	0	0	0	0	0	0
BRCAT54	0	0.15	0	0.09	0.17	0.15
BRCC3	20.28	20.11	19.41	31.53	24.71	29.42
BRD1	21.98	26.24	22.44	15.83	16.12	13.81
BRD2	82.48	89.1	84.29	73.96	75.99	69.49
BRD3	22.46	25.8	25.18	10.05	13.08	9.77
BRD4	59.93	58.04	48.76	44.33	41.13	37.64
BRD7	60.12	62.77	55.92	41.18	35.07	39.11
BRD7P3	0.04	0.04	0.2	0	0.13	0.04
BRD8	30	33.11	29.85	20.35	22.66	18.68
BRD9	34.14	32.21	30.23	40.79	35.76	40.07
BRDT	0	0	0	0	0	0
BRDTP1	0	0	0	0	0	0
BRE	30.47	32.49	32.79	18.37	16.43	17.33
BRE-AS1	0.29	0.12	0	0	0.07	0.13
BREA2	0.19	0.42	0	0.12	0.58	0.22
BRF1	25.22	26.78	27.79	27.14	22.93	24.37
BRF2	20.56	19.13	19.31	18.27	16.02	18.07
BRI3	421.6	404.88	352.67	394.96	368.88	441.63
BRI3BP	3.58	2.21	3.83	5.18	4.7	4.75
BRICD5	2.18	4.26	2.49	1.83	2.75	1.41
BRINP1	0	0	0	0.04	0.03	0
BRINP2	0.07	0	0	0.22	0.03	0
BRINP3	0.13	0.03	0.06	0.04	0	0
BRIP1	3.49	1.86	2.33	1.19	0.52	0.66
BRIX1	52.94	57.15	66.04	60.33	48.53	59.01
BRK1	249.45	254.87	285.17	499.31	462.72	529.15
BRMS1	64.02	58.53	62.37	111.67	74.67	91.98
BRMS1L	16.6	15.37	13.35	10.62	9.38	9.75
BROX	38.07	34.99	34.76	46.3	40.15	39.71
BRPF1	10.84	11.3	9.58	11.53	12.23	10.27
BRPF3	35.83	31.85	29.03	26.19	26.85	20.79
BRS3	0	0	0	0	0	0
BRSK1	6.22	6.98	6.58	12.44	18.11	15.86
BRSK2	0.21	0.69	0.47	0.59	0.47	0.33
BRWD1	16.36	18.52	18.97	13.46	18.15	14.87
BRWD1-AS1	0	0.16	0	0	0	0
BRWD1-IT2	0.19	0.72	0.5	0.36	0.34	0.55
BRWD3	5.32	5.46	4.25	5.34	5.48	4.3
BSCL2	8.01	7.75	8.28	20.76	17.71	17.62
BSDC1	46.94	52.42	49.22	82.83	88.84	79.31
BSG	698.7	723.96	716.4	996.82	919.82	953.7
BSN	0.03	0.03	0.06	0.01	0.01	0.03
BSN-AS2	0	0.04	0	0	0	0
BSND	0	0	0	0	0	0
BSPH1	0	0	0	0	0	0
BSPRY	0	0	0	0	0	0.04
BST1	42.19	33.96	37.92	2.26	2.05	2.54
BST2	4.11	5.73	6.76	13.56	2.04	4.53
BSX	0	0	0	0	0	0
BTAF1	17.58	18.85	17.86	24.41	25.04	20.67
BTBD1	95.2	99.22	94.17	124.65	127.68	122.81
BTBD10	47.46	45.34	46.22	63.88	56.33	53.96
BTBD11	0.25	0.2	0.16	2.19	1.98	2.13
BTBD16	0	0	0	0	0	0
BTBD17	0	0	0	0	0	0
BTBD18	0.03	0	0.1	0.04	0	0
BTBD19	8.13	11.1	6.97	6.36	10.43	5.85
BTBD2	110.1	115.55	110.65	80.99	97.94	79.82
BTBD3	54.07	46.98	45.17	22.64	23.42	19.8
BTBD6	65.15	56.62	53.54	55.51	50.58	57.85
BTBD7	24.74	24.62	21.12	24.05	21.14	21.3
BTBD8	2.38	2.25	2.27	0.41	1.95	0.59
BTBD9	8.38	7.9	7.55	10.11	11.64	9.32
BTC	0	0.08	0	0	0	0
BTD	16.6	15.95	15.15	8.98	11.06	8.7
BTF3	683.6	657.64	684.7	698.01	661.38	738.95
BTF3L4	36.58	38.95	37.88	21.07	18.11	21.47
BTF3P11	0.31	0	0	0	0	0
BTG1	35.41	42.56	37.05	35.28	33.84	32.31
BTG2	32.44	36.55	33.99	21.97	13.43	17.09
BTG3	40.81	42.31	44.12	33.07	35.54	37.42
BTG4	0.09	0	0	0.12	0.11	0
BTK	0.03	0.04	0	0	0	0
BTLA	0	0	0	0	0	0
BTN1A1	0.03	0	0	0	0	0
BTN2A1	56.21	52.92	53.51	100.52	76.37	90.25
BTN2A2	9.77	9.34	8.53	66.18	59.06	64.34
BTN2A3P	1.72	1.85	1.29	4.85	5.91	4.74
BTN3A1	33.42	33.44	29.4	15.54	15.42	12.9
BTN3A2	37.99	40.81	31.98	26.05	28.7	24.49
BTN3A3	33.7	39.1	35.96	7.62	7.11	6.51
BTNL10	0	0	0	0	0	0
BTNL2	0.06	0	0	0	0	0
BTNL3	0	0	0	0	0	0
BTNL8	0	0	0	0	0	0
BTNL9	0	0	0	0	0	0
BTRC	16.08	16.69	15.4	19.99	22.29	17.82
BUB1	8.97	4.28	7.61	2.14	0.73	2.46
BUB1B	6.11	3.8	4.72	1.51	0.7	1.5
BUB3	99.57	85.31	90.81	141.02	119.91	137.41
BUD13	9.11	8.71	7.46	7.55	8.83	7.19
BUD31	108.44	112.23	116.93	128.95	117.84	128.19
BVES	15.54	13.06	14.71	15.71	16.16	14.42
BVES-AS1	0.22	0	0.09	0.21	0.2	0.19
BYSL	23.4	20.03	21.88	40.78	34.22	38.2
BZRAP1	0.12	0.27	0.1	0	0.01	0.01
BZRAP1-AS1	0.35	0.25	0.23	0.17	0.16	0.1
BZW1	320.97	302.76	305.36	374.81	326.97	344.8
BZW2	35.99	32.85	34.56	76.3	69.87	73.14
C10orf10	12.84	14.89	21.5	0.74	2.85	2
C10orf105	0	0	0	0	0	0
C10orf107	1.72	2.79	1.59	0.29	0.54	0
C10orf11	0.23	0	0.2	0.59	0.83	1.19
C10orf111	0.27	0.18	0.1	0.21	0.4	0.19
C10orf113	0	0	0	0	0	0
C10orf12	4.54	3.52	4.53	7.38	5.48	5.33
C10orf120	0	0	0	0	0	0
C10orf126	0	0	0	0	0	0.05
C10orf128	0	0	0	0	0	0
C10orf131	0.08	0	0.28	0.21	0	0.09
C10orf142	0	0	0	0	0	0
C10orf2	7.22	6.49	6.02	11.88	10.16	12.75
C10orf25	1.31	1.5	2.02	1.29	1.17	0.84
C10orf32	22.55	22.95	20.51	24.74	14.95	20.38
C10orf32-ASMT	0	0	0	0.49	0	0.45
C10orf35	5.11	2.7	2.8	2.04	1.92	2.34
C10orf53	0	0	0	0	0	0
C10orf54	13.88	12.3	13.73	1.11	1.55	1.21
C10orf55	3.78	4.82	3.38	12.22	15.48	13.36
C10orf62	0	0	0	0	0	0
C10orf67	0.03	0.03	0.11	0.12	0.11	0.07
C10orf71	0	0	0	0.02	0	0
C10orf71-AS1	0	0	0	0	0	0
C10orf76	16.39	16.06	15.75	22.89	20.11	24.48
C10orf82	0	0	0	0	0.12	0
C10orf88	9.4	9.08	10.29	11.1	11.82	11.3
C10orf90	0.06	0.03	0.1	0.53	0.32	0.24
C10orf91	0	0	0	0	0	0.15
C10orf95	0.06	0.3	0	0.08	0	0.07
C10orf99	0	0	0	0	0	0
C11orf1	9.71	5.79	11.13	6.36	4.12	6.17
C11orf16	0	0.16	0	0.06	0.12	0.06
C11orf21	0.08	0	0	0	0	0
C11orf24	98.62	94.61	89.85	164.55	144.93	155.71
C11orf30	7.52	8.15	7.05	7.11	6.35	6.06
C11orf31	91.82	95.62	96.72	129.56	122.92	137.54
C11orf39	0	0	0	0	0	0
C11orf40	0	0	0	0	0	0
C11orf42	0.25	0.09	0	0.11	0.1	0
C11orf44	0	0	0	0	0.03	0.03
C11orf45	1.01	0.98	1.45	0.16	0.09	0.29
C11orf49	31.57	29.89	31.01	26.6	35.02	26.87
C11orf52	0.75	0.27	1.17	0	0.1	0.38
C11orf53	0	0	0	0	0	0
C11orf54	25.45	26.21	22.96	11.39	14.65	11.21
C11orf57	25.71	26.6	25.43	23.29	20.2	19.48
C11orf58	112.76	112.78	112.09	89.07	74.66	81.55
C11orf63	5.67	4.89	4.68	3.06	2.42	3.22
C11orf65	0.55	0.3	0.33	0.35	0.22	0.32
C11orf68	82.37	81.06	79.27	94.48	99.62	96.23
C11orf70	6.25	4.35	9.14	4.71	3.67	5.03
C11orf71	5.38	6.16	4.2	4.34	4.7	4.62
C11orf72	0	0	0	0	0	0
C11orf73	59	61.25	59.44	48.47	44.63	45.62
C11orf74	30.5	27.88	27.95	15.7	11.17	11.34
C11orf80	5.23	5.25	5.52	4.32	5.93	5.9
C11orf84	32.22	32.43	35.87	37.47	36.22	39.19
C11orf85	0.09	0.19	0	0	0.1	0.1
C11orf86	0	0	0	0	0	0
C11orf87	7.29	6.55	5.82	0	0.02	0.03
C11orf88	1.52	1.21	0.24	0.71	0.33	0.32
C11orf91	0.32	0.47	0.75	4.79	3.61	3.44
C11orf94	0	0.33	1.06	0	0	0
C11orf95	22.76	25.9	23.94	31.56	25.11	25.56
C11orf96	0.84	2.54	1.24	4.88	5.89	3.5
C11orf97	0	0	0	0	0	0
C11orf98	69.01	60.21	68.63	126.51	125.05	143.18
C12orf10	58.72	54.38	58.2	61.01	58.5	57.45
C12orf29	17.36	14.77	15.79	27.71	19.79	23.39
C12orf4	15.03	15.32	14.82	12.4	8.25	9.99
C12orf40	0	0	0	0	0	0
C12orf42	0	0	0	0	0	0
C12orf43	16.54	14.74	14.48	17.25	14.61	15.29
C12orf45	19.5	18.16	14.79	23.58	20.1	26.42
C12orf49	30.33	29.48	27.4	39.59	34.54	34.63
C12orf50	0	0	0	0.14	0	0.06
C12orf54	0.11	0	0	0	0	0
C12orf56	0	0	0	0.07	0.11	0
C12orf57	234.27	242.36	230.14	169.08	165.76	185.73
C12orf60	1.68	1.75	2.96	6.04	4.17	4.17
C12orf65	20.6	18.82	17.6	10.65	15.43	13.36
C12orf66	2.16	2.1	1.42	1.97	2.34	3.36
C12orf71	0	0.11	0	0	0	0
C12orf73	5.78	5.79	5.97	5.25	5.75	5.23
C12orf74	0	0	0	0	0.12	0.06
C12orf75	382.21	285.17	317.91	165.6	129.98	150.15
C12orf76	4.29	5.11	4.83	4.3	4.17	3.27
C12orf77	0	0	0	0	0	0
C12orf79	0.13	0.14	0.08	0	0.05	0
C12orf80	0	0	0	0	0	0
C14orf1	43.47	37.05	45.51	45.63	61	49.93
C14orf105	0	0	0	0.12	0	0
C14orf119	44.67	44.25	48.14	68.77	70.54	74.2
C14orf132	17.46	24.62	23.63	10.87	11.72	11.75
C14orf142	7.13	7.28	9.34	16.87	14.56	16.47
C14orf159	13.38	12.68	12.89	6.45	8.2	5.56
C14orf166	224.36	212.48	223.38	207.03	198.6	207.86
C14orf169	13.43	11.88	12.44	18.05	13.23	14.01
C14orf177	0	0	0	0	0	0
C14orf178	0.16	0.17	0	0	0	0
C14orf180	0	0	0	0	0	0
C14orf2	166.81	171.46	175.06	199.44	186.12	205.78
C14orf28	11	9.11	7.65	6.61	6.08	6.08
C14orf37	2.82	3.15	1.87	1.43	1.24	1.15
C14orf39	0.16	0.04	0.17	0.34	0.08	0.19
C14orf79	7.1	7.82	5.58	12.49	9.25	11.23
C14orf80	6.26	4.94	5.51	5.7	6.77	5.72
C14orf93	4.05	4.41	4.29	1.52	1.59	1.28
C15orf26	0	0.06	0	0	0	0
C15orf27	0.08	0.21	0.2	0.1	0	0.22
C15orf32	0	0	0	0	0	0
C15orf38-AP3S2	9.05	10.57	10.49	4.71	5.61	3.44
C15orf39	9.27	9.35	7.09	10.63	7.27	7.38
C15orf40	14.68	19.46	14.14	14.12	13.26	14.88
C15orf41	12.26	11.15	12.59	5.85	6.64	6
C15orf43	0	0	0	0	0	0
C15orf48	0.92	0.76	0.61	49.07	44.68	64.17
C15orf52	13.68	16.89	16.05	50.45	61.63	55.63
C15orf53	0	0	0	0	0	0
C15orf54	0	0	0	1.21	1.24	1.99
C15orf56	0	0	0	0.06	0	0.05
C15orf57	21.76	23.77	23.29	50.27	34.47	39.66
C15orf59	0.25	0.21	0.33	0.1	0.06	0.13
C15orf59-AS1	0	0	0	0	0	0
C15orf61	7.17	8.33	6.99	8.7	8.9	6.84
C15orf62	1.61	1.64	0.97	0.47	0.58	0.21
C15orf65	6.38	6.41	4.14	3.85	5.52	7.37
C16orf13	102.59	86.68	96.36	121.65	124.27	122.57
C16orf45	22.62	30.38	27.17	38.9	56.69	41.45
C16orf46	1.12	1.22	1.73	2.38	2.87	2.06
C16orf47	0	0	0	0	0	0
C16orf52	11.82	12.75	11.06	13.11	11.46	10.78
C16orf54	0	0	0	0	0	0
C16orf58	92.38	89.18	80.72	41.57	49.42	41.11
C16orf59	3.52	3.73	3.41	3.06	2.68	3.21
C16orf62	41.61	39.19	37.85	27.39	28.76	27.7
C16orf70	12.92	13.99	12.15	15.47	13.75	14.38
C16orf71	1.04	0.59	1.13	0.78	0.41	0.54
C16orf72	56.8	55.45	53.52	60	60.02	61.47
C16orf74	12.23	10.45	12.5	60.2	60.82	68.38
C16orf78	0	0	0	0	0	0
C16orf82	0	0.04	0	0	0	0
C16orf86	0.15	0.4	0.65	0.28	0.36	0.09
C16orf87	48.08	49.69	50.37	26.42	21.57	25.86
C16orf89	0.61	0.98	1.4	0	0.15	0.21
C16orf90	0	0	0	0	0	0
C16orf91	13.87	16.57	14.83	31.86	24.49	27.86
C16orf92	0	0	0	0.1	0	0.05
C16orf93	0.38	0.83	0.56	2.32	3.24	2.25
C16orf95	5.97	4.19	5.02	5.04	7.03	5.23
C16orf96	0	0.06	0.05	0	0	0
C16orf97	0	0	0	0	0	0
C17orf100	3.03	3.91	2.2	1.37	0.79	0.96
C17orf102	0	0	0	0	0	0
C17orf104	0.48	0.46	0.54	0.57	0.65	0.35
C17orf105	0.12	0	0	0	0.43	0.27
C17orf107	0.78	0.66	0.67	0.04	0.14	0.12
C17orf112	0	0	0	0	0	0
C17orf47	0.17	0.2	0.15	0	0	0
C17orf49	40.09	41.35	49.78	35.06	43.67	38.27
C17orf50	0	0	0	0	0	0
C17orf51	22.05	23.32	20.72	21.5	19.44	16.91
C17orf53	1.5	0.77	1	1.5	2.38	1.77
C17orf58	16.64	18.89	18.01	15.4	9.09	10.79
C17orf59	13.05	12.29	13.05	20.21	19.53	18.06
C17orf62	52.37	61.18	56.68	56.74	60.71	59.4
C17orf64	0	0	0	0	0	0
C17orf67	2.14	1.55	1.69	1.05	1.55	1
C17orf74	0	0	0	0	0	0.06
C17orf75	5.97	6.37	6.78	2.77	2.87	2.87
C17orf77	0	0	0	0	0	0
C17orf78	0.1	0	0	0	0	0
C17orf80	17.46	19.51	18.3	10.7	11.92	10.58
C17orf82	0.91	1.46	1.71	0.55	0.66	0.91
C17orf85	13.01	14.04	12.8	11.37	11.67	11.34
C17orf89	90.84	97.41	104.59	141.1	112	140.15
C17orf96	1.15	1.29	1.04	7.12	11.29	8.24
C17orf97	2.45	3.23	4.24	3.08	3.09	3.58
C17orf98	0	0	0	0	0	0
C17orf99	0	0.1	0	0	0.11	0
C18orf21	19.8	21.92	21.36	18.98	13.36	20.23
C18orf25	8.62	8.05	9.07	13.62	14.45	12.84
C18orf32	56.84	69.39	56.12	45.64	54.5	56.97
C18orf42	0.08	0	0	0	0	0
C18orf54	3.9	3.4	3.26	1.96	2.91	2.16
C18orf61	0	0	0	0	0	0
C18orf63	0	0	0	0	0	0.04
C18orf65	0.18	0.39	0.62	1.08	1.34	1.02
C18orf8	19.56	20.59	18.6	27.32	26.63	22.4
C19orf12	24.62	24.92	24.47	27.44	24.96	25.23
C19orf18	0.73	0.69	1.11	1.08	1.14	1.33
C19orf24	47.85	45.44	49.37	97.35	84.94	90.71
C19orf25	23.49	24.04	25.78	30.23	24.26	28.34
C19orf26	8.47	9.74	9.58	11.2	12.55	11.05
C19orf33	0	0	0	0	0	0
